Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2016,19,-1.8,Johns Hopkins,CENT,NCAA,,0,0,,4.09,5.32,21,0,,0,0,0,22.0,25,13,10,0,6,0,22,8,0,2,102,1.409,10.2,0.0,2.5,9.0,3.67
2017,20,-0.7,Johns Hopkins,CENT,NCAA,,4,1,0.800,2.04,2.80,17,0,,0,0,6,35.1,30,11,8,0,8,2,29,4,2,0,146,1.075,7.6,0.0,2.0,7.4,3.63
2017,20,0.4,Baltimore Dodgers,CRCL,Smr,,3,2,0.600,0.95,1.42,8,4,3,0,0,1,38.0,25,6,4,0,9,0,29,5,1,0,142,0.895,5.9,0.0,2.1,6.9,3.22
2018,21,0.4,Johns Hopkins,CENT,NCAA,,2,2,0.500,2.53,5.06,11,1,,0,0,2,32.0,32,18,9,2,9,2,27,5,1,2,137,1.281,9.0,0.6,2.5,7.6,3.00
2019,22,1.7,Johns Hopkins,CENT,NCAA,,6,2,0.750,2.91,4.07,25,3,,2,0,7,77.1,76,35,25,5,8,0,60,11,2,0,318,1.086,8.8,0.6,0.9,7.0,7.50
2019,22,,2 Teams,2 Lgs,A--Rk,NYM,2,0,1.000,1.33,2.21,22,0,17,0,0,4,20.1,17,5,3,0,5,1,24,2,0,1,88,1.082,7.5,0.0,2.2,10.6,4.80
2019,22,0.7,Brooklyn,NYPL,A-,NYM,2,0,1.000,2.25,3.75,11,0,7,0,0,1,12.0,13,5,3,0,3,1,14,2,0,1,55,1.333,9.8,0.0,2.3,10.5,4.67
2019,22,1.3,Kingsport,APPY,Rk,NYM,0,0,,0.00,0.00,11,0,10,0,0,3,8.1,4,0,0,0,2,0,10,0,0,0,33,0.720,4.3,0.0,2.2,10.8,5.00
2019,22,-1.3,Westside,USBL,Ind,,1,0,1.000,0.00,1.35,6,0,,0,,,6.2,4,1,0,,1,,6,,,,,0.750,5.4,,1.4,8.1,6.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,24,,3 Teams,3 Lgs,A+-AA-AAA,NYM,2,1,0.667,3.65,5.40,33,0,10,0,0,1,61.2,70,37,25,2,13,1,47,9,0,1,270,1.346,10.2,0.3,1.9,6.9,3.62
2021,24,-3.0,Syracuse,AAAE,AAA,NYM,0,0,,10.13,10.13,3,0,2,0,0,0,2.2,7,3,3,1,1,0,1,0,0,0,16,3.000,23.6,3.4,3.4,3.4,1.00
2021,24,-0.7,Binghamton,AANE,AA,NYM,0,0,,3.72,3.72,6,0,2,0,0,0,9.2,5,4,4,0,1,0,6,4,0,0,39,0.621,4.7,0.0,0.9,5.6,6.00
2021,24,0.7,Brooklyn,HAE,A+,NYM,2,1,0.667,3.28,5.47,24,0,6,0,0,1,49.1,58,30,18,1,11,1,40,5,0,1,215,1.399,10.6,0.2,2.0,7.3,3.64
2022,25,,3 Teams,3 Lgs,AA-A+-AAA,NYM,5,3,0.625,4.70,5.70,33,2,9,0,0,2,53.2,61,34,28,6,22,1,55,5,1,4,243,1.547,10.2,1.0,3.7,9.2,2.50
2022,25,-2.0,Syracuse,IL,AAA,NYM,0,1,0.000,8.53,8.53,2,2,0,0,0,0,6.1,7,6,6,2,2,0,7,2,0,1,29,1.421,9.9,2.8,2.8,9.9,3.50
2022,25,0.5,Binghamton,EL,AA,NYM,4,2,0.667,4.99,6.35,25,0,7,0,0,1,39.2,49,28,22,4,18,0,38,3,1,3,184,1.689,11.1,0.9,4.1,8.6,2.11
2022,25,2.0,Brooklyn,SALL,A+,NYM,1,0,1.000,0.00,0.00,6,0,2,0,0,1,7.2,5,0,0,0,2,1,10,0,0,0,30,0.913,5.9,0.0,2.3,11.7,5.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,27,,3 Teams,3 Lgs,A+-AA-AAA,NYM,1,3,0.250,3.77,4.87,38,0,19,0,0,5,57.1,57,31,24,3,14,2,48,10,0,3,253,1.238,8.9,0.5,2.2,7.5,3.43
2024,27,0.0,Syracuse,IL,AAA,NYM,0,0,,16.20,37.80,2,0,0,0,0,0,1.2,5,7,3,0,0,0,0,3,0,1,14,3.000,27.0,0.0,0.0,0.0,
2024,27,2.5,Binghamton,EL,AA,NYM,0,1,0.000,6.30,6.75,14,0,6,0,0,0,20.0,27,15,14,3,5,0,17,3,0,2,95,1.600,12.2,1.4,2.3,7.7,3.40
2024,27,4.0,Brooklyn,SALL,A+,NYM,1,2,0.333,1.77,2.27,22,0,13,0,0,5,35.2,25,9,7,0,9,2,31,4,0,0,144,0.953,6.3,0.0,2.3,7.8,3.44
2025,28,,2 Teams,2 Lgs,A+-AA,PHI,1,1,0.500,6.28,6.28,27,0,7,0,0,1,28.2,32,20,20,3,14,1,25,2,0,4,132,1.605,10.0,0.9,4.4,7.8,1.79
2025,28,3.3,Reading,EL,AA,PHI,0,0,,3.52,3.52,6,0,1,0,0,1,7.2,6,3,3,0,5,1,5,2,0,0,35,1.435,7.0,0.0,5.9,5.9,1.00
2025,28,4.8,Jersey Shore,SALL,A+,PHI,1,1,0.500,7.29,7.29,21,0,6,0,0,0,21.0,26,17,17,3,9,0,20,0,0,4,97,1.667,11.1,1.3,3.9,8.6,2.22